SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec
ANDAMAN & NICOBAR ISLANDS,1951,82.7,7.2,0,45.4,259,619.9,665.3,101.3,360.9,489,209.6,434.8,3275.1,89.9,304.4,1747.4,1133.4
ANDAMAN & NICOBAR ISLANDS,1952,0,0.8,69.7,39.4,452.9,657.7,385.5,541.3,240.3,315.6,287.5,89.2,3079.9,0.8,562,1824.8,692.3
ANDAMAN & NICOBAR ISLANDS,1953,56,65.3,20.1,159.4,241.1,549.9,444.4,262.8,370.1,243.6,246,63.3,2721.9,121.3,420.5,1627.1,552.9
ANDAMAN & NICOBAR ISLANDS,1954,83.8,2.1,34.3,58,394.7,539.4,510.8,605.4,763.8,247.2,84.8,124.7,3449,85.9,487,2419.4,456.7
ANDAMAN & NICOBAR ISLANDS,1955,57.3,28.2,9.9,68.8,663.6,651.1,298.4,356.9,341.8,466.5,362.9,44.2,3349.6,85.5,742.2,1648.3,873.6
ANDAMAN & NICOBAR ISLANDS,1956,49.2,77.2,33.8,130.3,491.8,343.1,468.4,467.7,325.1,458.7,164.1,70.5,3080,126.4,656,1604.4,693.3
ANDAMAN & NICOBAR ISLANDS,1957,28,19.3,4.6,19,142.4,741.9,316.2,421.3,354.3,299.7,88.6,71.9,2507.2,47.3,166,1833.6,460.3
ANDAMAN & NICOBAR ISLANDS,1958,22.9,14.3,30.4,24.6,355.1,530.7,440.7,388.4,350.6,265.2,313.8,70.7,2807.4,37.2,410.2,1710.4,649.6
ANDAMAN & NICOBAR ISLANDS,1959,10.1,1.8,31.3,86.7,238.1,455.7,817.1,409.3,589.6,332.7,242.5,128.5,3343.3,11.9,356.1,2271.7,703.6
ANDAMAN & NICOBAR ISLANDS,1960,104.2,72.4,12.1,53.5,535.4,541.5,308.4,270.7,442.4,400,191.7,92.8,3025,176.6,601,1563,684.5
ANDAMAN & NICOBAR ISLANDS,1961,82.1,99.4,33.2,88.1,973.1,383.3,304.9,557.1,612,379.9,280.6,144.5,3938.2,181.5,1094.5,1857.3,805
ANDAMAN & NICOBAR ISLANDS,1962,152.4,14.9,17.3,46.4,310.4,367.7,409.1,420.6,474.5,259.8,101.7,384.9,2959.7,167.3,374.1,1671.9,746.4
ANDAMAN & NICOBAR ISLANDS,1963,79.9,26.8,7.4,69.5,259.9,434.7,303.3,601.2,614.3,295.5,109.3,179.9,2981.7,106.7,336.8,1953.5,584.7
ANDAMAN & NICOBAR ISLANDS,1964,65.5,21.9,3.1,18.1,530.6,465.3,287.3,472.1,521.2,218.9,349.2,101.6,3054.8,87.4,551.8,1745.9,669.8
ANDAMAN & NICOBAR ISLANDS,1965,11.8,30.4,25.3,51,292.3,408.8,392.1,396.6,576.8,290.5,187.9,500.4,3163.8,42.2,368.5,1774.3,978.8
ANDAMAN & NICOBAR ISLANDS,1966,79.8,4.2,12,38.7,376.9,148.8,433.5,335.6,454.1,171.9,333.8,311.9,2701.2,83.9,427.6,1372.1,817.6
ANDAMAN & NICOBAR ISLANDS,1967,164.6,21.6,30,63.4,516.4,340.8,537.8,614.3,303.5,427.5,99.7,97,3216.4,186.2,609.7,1796.4,624.1
ANDAMAN & NICOBAR ISLANDS,1968,22.1,1.3,4.2,81.5,297.6,545.2,519.3,242,496.8,281.6,152,119.2,2762.8,23.4,383.3,1803.3,552.8
ANDAMAN & NICOBAR ISLANDS,1969,106.3,64.7,14.6,20.8,317.3,422.8,345.2,281.4,489.8,146.8,343.7,65.8,2619,171,352.7,1539.1,556.3
ANDAMAN & NICOBAR ISLANDS,1970,72.2,34,7.8,58.2,422.7,407.3,564.6,342.9,423.5,386.6,418.4,232.7,3370.8,106.2,488.7,1738.2,1037.7
ANDAMAN & NICOBAR ISLANDS,1971,41.5,32.8,37.7,35.3,398,394.6,421.1,327.9,470.2,505.3,178.4,155.9,2998.6,74.3,471,1613.7,839.6
ANDAMAN & NICOBAR ISLANDS,1972,13.7,1.7,7.5,178.3,420.2,470,544.6,384.9,444.5,263.8,413.9,180,3323,15.3,605.9,1844,857.7
ANDAMAN & NICOBAR ISLANDS,1973,18.1,20.3,30.5,29.6,418.6,488.6,371.4,370.3,357.5,247.2,349.8,289.1,2991.1,38.5,478.7,1587.8,886.1
ANDAMAN & NICOBAR ISLANDS,1974,22.2,43.9,17.2,301.4,353.3,343.8,257.1,456.2,321.6,398.4,372.2,74.8,2962,66,672,1378.7,845.3
ANDAMAN & NICOBAR ISLANDS,1975,276.9,27.5,8,24.2,362.9,706.3,173.6,357.4,351.8,373.6,323.7,99.7,3085.7,304.4,395.2,1589.1,797
ANDAMAN & NICOBAR ISLANDS,1976,20.9,9.7,0.6,161.6,551.4,441.4,382.1,487.7,387,166.8,307.2,359.6,3276,30.6,713.5,1698.2,833.7
ANDAMAN & NICOBAR ISLANDS,1977,79.7,43.2,6.1,6.9,275.3,339.3,341.1,345.5,467.1,263.6,153.3,67.1,2388.2,122.9,288.3,1492.9,484.1
ANDAMAN & NICOBAR ISLANDS,1978,109.6,29.3,18.9,63.4,343.6,462.2,656.6,346.3,310.8,243.7,83.4,44.6,2712.4,138.9,425.9,1775.9,371.6
ANDAMAN & NICOBAR ISLANDS,1979,35.5,9.4,3.9,64.8,146.3,282.8,455.9,173.6,330.2,163.5,169.8,13.6,1849.4,44.9,215,1242.5,347
ANDAMAN & NICOBAR ISLANDS,1980,5.5,0.8,9.2,38.8,728.4,604.2,575.7,494.4,271.9,252,143.7,500.7,3625.3,6.3,776.5,1946.3,896.3
ANDAMAN & NICOBAR ISLANDS,1981,11.1,27.8,1.7,94.1,270.8,600.6,344.1,510.7,452.6,242.1,348.4,170.7,3074.8,38.9,366.7,1908,761.2
ANDAMAN & NICOBAR ISLANDS,1982,8.8,2.8,6.6,97.5,229.2,448.7,410.5,347.6,369,164.5,238.8,60.5,2384.5,11.6,333.3,1575.8,463.8
ANDAMAN & NICOBAR ISLANDS,1983,22.1,0,3.1,9.1,240.8,424.3,468.9,493.8,505.5,275.8,261,88.1,2792.4,22.1,253,1892.4,624.9
ANDAMAN & NICOBAR ISLANDS,1984,69.4,173.8,26.3,156.6,162.3,424.9,446.4,125.8,283.6,347.1,158.9,445.2,2820.3,243.2,345.2,1280.7,951.2
